text,category,label
The average of the first ten even numbers is,Average,0
The average of the first ten odd numbers is,Average,0
The average of the first ten prime numbers is,Average,0
The average of the first ten composite numbers is,Average,0
"The average of the first ten prime numbers, which are odd, is",Average,0
I gain 70 paise on Rs.70. My gain percent is,Profit and Loss,1
"The average age of 13 boys and the principal is 10 years. When the principal’s age is excluded, the average age decreases by 2 year. What is the age of the principal?",Average,0
"The average weight of 3 boys A, B and C is 74 kg. Another boy D joins the group and the average now becomes 70 kg. If another boy E, whose weight is 3 kg more than that of D, replaces A then the average weight of B, C, D and E becomes 75 kg. The weight of A is",Average,0
"The mean temperature of Monday to Wednesday was 35 °C and of Tuesday to Thursday was 30 °C. If the temperature on Thursday was ½ that of Monday, the temperature on Thursday was",Average,0
"Five years ago, the average age of A, B and C was 25 years and that of B and C 10 years ago was 20 years. A’s present age is",Average,0
"Ganguly has a certain average for 4 innings. In the 5th inning, he scores 40 runs thereby increasing his average by 4 runs. His new average is",Average,0
The average of the first six multiples of 5 is,Average,0
"There are three fractions A, B and C. If A = 1/5 and B = 1/8 and the average of A, B and C is 1/10. What is the value of C?",Average,0
"The marks obtained by Alan in Mathematics, English and Biology are respectively 90 out of 100, 70 out of 150 and 150 out of 200. Find his average score in percent.",Average,0
"The average monthly expenditure of a family was 2250 for the first 3 months, `2150 for the next three months and ` 5750 for the next three months. Find the average income of the family for the 9 months, if they save `500 per month.",Average,0
"The average age of a family of 5 members is 20 years. If the age of the youngest member be 5 years, what was the average age of the family at the birth of the youngest member?",Average,0
The average age of 5 persons in a group is increased by 10 years when two men aged 30 years and 40 years are substituted by two women. Find the average age (in years) of the two women.,Average,0
"The average temperature for Wednesday, Thursday and Friday was 20 °C. The average for Thursday, Friday and Saturday was 21 °C. If the temperature on Saturday was 22 °C, what was the temperature on Wednesday?",Average,0
"The speed of the train in going from Kanpur to Lucknow is 60 km/hr while when coming back from Lucknow to Kanpur, its speed is 40 km/hr. Find the average speed (in km/hr) during the whole journey.",Average,0
"The average weight of a class of 19 students is 20 kg. If the weight of the teacher be included, the average rises by 1 kg. What is the weight of the teacher?",Average,0
The average of 3 numbers is 20 and that of the first two is 25. Find the third number.,Average,0
"The average weight of 29 men in a ship is increased by 5 kg when one of the men, who weighs 120 kg, is replaced by a new man. Find the weight of the new man (In kg)",Average,0
"The age of A and B is in the ratio 1: 3. After 10 years, the ratio of their ages will become 1:2. Find the average of their ages after 20 years.",Average,0
Find the average of the first 100 natural numbers.,Average,0
Find the average of all prime numbers between 20 and 50.,Average,0
"If we take four numbers, the average of the first three is 20 and that of the last three is 25. If the last number is 30, the first number is",Average,0
"The average of 15 results is 40 and that of 25 more results is 48. For all the results taken together, the average is",Average,0
The average of 7 consecutive numbers is 21. The highest of these numbers will be,Average,0
"The average age of 8 students is 11 years. If 2 more students of age 15 and 17 years join, their average will become",Average,0
